Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
166,-0.00079,-0.64723,1.06132,-0.31461,0.00061,0.0005,0.09783,-0.24564,1.00164,-0.65888,-0.07566,-0.06209
167,-0.0151,-0.66262,1.05315,-0.29111,0.01168,0.00956,0.08351,-0.27165,1.01657,-0.64715,-0.0646,-0.05297
168,-0.02994,-0.67731,1.04224,-0.26567,0.02317,0.01897,0.06864,-0.29769,1.02954,-0.63353,-0.05311,-0.04353
169,-0.04503,-0.69103,1.02834,-0.23833,0.03484,0.02853,0.05352,-0.32352,1.04032,-0.61802,-0.04141,-0.03393
170,-0.06007,-0.70352,1.01132,-0.20921,0.04647,0.03807,0.03842,-0.34891,1.04875,-0.60072,-0.02973,-0.02435
171,-0.07479,-0.71458,0.99116,-0.17848,0.05785,0.04742,0.02362,-0.37363,1.05477,-0.58179,-0.01828,-0.01497
172,-0.08895,-0.72404,0.96796,-0.14639,0.0688,0.05643,0.00938,-0.39748,1.05843,-0.56149,-0.00726,-0.00595
173,-0.10231,-0.73178,0.94192,-0.11323,0.07911,0.06494,-0.00408,-0.42026,1.05986,-0.54012,0.00315,0.00257
174,-0.11464,-0.73776,0.91339,-0.07939,0.08863,0.0728,-0.01651,-0.44182,1.05928,-0.51805,0.01277,0.01045
175,-0.12575,-0.74199,0.88286,-0.04528,0.0972,0.0799,-0.02771,-0.46202,1.05701,-0.4957,0.02144,0.01755
176,-0.13544,-0.74457,0.85091,-0.01138,0.10468,0.0861,-0.0375,-0.48076,1.05342,-0.47353,0.02902,0.02375
177,-0.14526,-0.77739,0.89611,-0.02444,0.11225,0.0924,-0.04583,-0.49781,1.05392,-0.45714,0.03546,0.02903
178,-0.15669,-0.84997,1.05342,-0.11002,0.12105,0.09973,-0.05279,-0.51353,1.06272,-0.45039,0.04084,0.03345
179,-0.16845,-0.91886,1.2376,-0.22626,0.1301,0.1073,-0.05836,-0.52837,1.07632,-0.44931,0.04515,0.03698
180,-0.17851,-0.95403,1.39471,-0.34907,0.13784,0.11379,-0.06242,-0.54173,1.09045,-0.4502,0.04829,0.03956
181,-0.18406,-0.93456,1.48597,-0.4603,0.14211,0.11737,-0.06488,-0.55226,1.09995,-0.44924,0.05019,0.04112
182,-0.18527,-0.87251,1.52195,-0.55844,0.14303,0.11815,-0.06578,-0.56068,1.10546,-0.44636,0.05089,0.0417
183,-0.18495,-0.79774,1.54555,-0.65678,0.14279,0.11795,-0.0653,-0.56961,1.11253,-0.44449,0.05052,0.04139
184,-0.18313,-0.71431,1.55413,-0.74863,0.14139,0.11677,-0.06346,-0.57929,1.12036,-0.44258,0.04909,0.04022
