Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
145,-0.04338,-0.53161,1.02572,-0.39509,0.03343,0.02765,-0.04315,-0.51398,0.98192,-0.36891,0.03346,0.02725
146,-0.03086,-0.52217,1.00549,-0.38407,0.02375,0.01971,-0.03084,-0.51633,0.98572,-0.37015,0.02393,0.01944
147,-0.0179,-0.52105,1.00286,-0.38241,0.01372,0.01149,-0.01791,-0.51917,0.99119,-0.37262,0.01394,0.01124
148,-0.00454,-0.51952,0.99937,-0.38038,0.00339,0.00302,-0.00457,-0.52171,0.99599,-0.37481,0.00362,0.00278
149,0.009,-0.51757,0.99497,-0.37795,-0.00708,-0.00556,0.00897,-0.52387,1.0,-0.37667,-0.00686,-0.0058
150,0.0225,-0.51521,0.9897,-0.37515,-0.01753,-0.01412,0.0225,-0.52562,1.00313,-0.37815,-0.01732,-0.01438
151,0.03576,-0.51248,0.98366,-0.37202,-0.02778,-0.02252,0.0358,-0.52694,1.00537,-0.37926,-0.02761,-0.02281
152,0.04854,-0.50946,0.977,-0.36865,-0.03767,-0.03063,0.04866,-0.52786,1.00675,-0.37999,-0.03755,-0.03096
153,0.06066,-0.50623,0.96991,-0.36511,-0.04704,-0.03832,0.06086,-0.52839,1.00735,-0.38038,-0.04698,-0.03871
154,0.07192,-0.50291,0.96264,-0.36153,-0.05574,-0.04547,0.07221,-0.5286,1.00729,-0.38048,-0.05576,-0.04592
155,0.08213,-0.49972,0.95575,-0.35821,-0.06363,-0.05197,0.08255,-0.52973,1.00922,-0.38168,-0.06375,-0.05249
156,0.09127,-0.49773,0.95231,-0.35715,-0.07069,-0.05778,0.09226,-0.54282,1.03665,-0.39643,-0.07126,-0.05867
